year	manuscript	paper_source	matrix	clade	model_equilibrium	model_rate_matrix	model_site_rate_hetero	model_combined	recoding	software	software_version	inference	convergence	support_ctenophora_sister	support_porifera_sister	support_porifera-monophyletic	support_porifera_ctenophora_sister	notes	final
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	Estimated	GTR	GAMMA	Recoding + GTR	S&R-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	Estimated	GTR	GAMMA	Recoding + GTR	KGB-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	Estimated	GTR	GAMMA	Recoding + GTR	S&R-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	Estimated	GTR	GAMMA	Recoding + GTR	KGB-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
2017	Feuda2017	Figure S4	Chang2015	Holozoa	Estimated	GTR	GAMMA	Recoding + GTR	S&R-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
2017	Feuda2017	Figure S4	Chang2015	Holozoa	Estimated	GTR	GAMMA	Recoding + GTR	KGB-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_strict	Choanimalia	Estimated	GTR	NA	GTR + CAT	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	Estimated	GTR	GAMMA	GTR	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	Estimated	GTR	GAMMA	Recoding + GTR	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	Estimated	GTR	GAMMA	Recoding + GTR	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	Empritical	WAG	GAMMA	WAG	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	Empritical	LG	GAMMA	LG	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	Estimated	GTR	GAMMA	GTR	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	CAT	GTR	GAMMA	GTR + CAT	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	Estimated	GTR	GAMMA	Recoding + GTR	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S4	Chang2015	Holozoa	Empritical	WAG	GAMMA	WAG	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S4	Chang2015	Holozoa	Empritical	LG	GAMMA	LG	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S4	Chang2015	Holozoa	Estimated	GTR	GAMMA	GTR	aa	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Simion2017	Figure 4	Simion2017	Choanimalia	Empritical	LG	GAMMA	LG	aa	RAxML		ML	NA	0	0	0	100		Unresolved
2017	Feuda2017	Figure S4	Chang2015	Holozoa	CAT	GTR	GAMMA	GTR + CAT	aa	PhyloBayes MPI		Bayesian	FALSE	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S4	Chang2015	Holozoa	Estimated	GTR	GAMMA	Recoding + GTR	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2017	Simion2017	Figure 4	Simion2017	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes MPI	1.6j	Bayesian	FALSE	0	0	100	100		Unresolved
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	Estimated	GTR	GAMMA	Recoding + GTR	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	100	0	99	0		Ctenophora-sister
