component_number	matrix_partition
111	Hejnol2009Tribe1272_0,Ryan2013_estgene130,Whelan2015_D1Gene_0951,Chang2015tribe1374,Simion2017V2META13358-42-Calc_Hmm10-BMGE05,Dunn2008Tribe1374,Whelan2015_D10Gene_0951,Whelan2015_D20Gene_0951,
112	Ryan2013_estgene192,Whelan2015_D20Gene_0690,Simion2017V2META13240-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe963_0,Whelan2015_D1Gene_0690,Whelan2015_D10Gene_0690,Chang2015tribe961,Dunn2008Tribe961,
113	Whelan2015_D1Gene_0511,Whelan2017_fullSubset32_01,Hejnol2009Tribe2055_0,Simion2017V2META13819-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0511,Ryan2013_estgene214,Whelan2017_strictSubset27,Whelan2015_D20Gene_0511,
114	Whelan2015_D20Gene_0169,Whelan2017_fullSubset18_01,Moroz2014_3d174,Whelan2015_D10Gene_0169,Whelan2015_D1Gene_0169,Whelan2017_strictSubset14,Simion2017V2META14037-42-Calc_Hmm10-BMGE05,Whelan2017_strictSubset13,
115	Ryan2013_estgene37,Whelan2017_fullSubset11_01,Whelan2015_D1Gene_0077,
116	Whelan2015_D10Gene_0088,Whelan2015_D20Gene_0088,Whelan2015_D1Gene_0088,Whelan2017_fullSubset11_02,
117	Whelan2017_fullSubset23_06,Simion2017V2META14005-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG205.fasta.aln_gene22,Whelan2015_D10Gene_0941,Whelan2015_D20Gene_0941,Whelan2015_D1Gene_0941,Borowiec2015_Total1080OG205.fasta.aln_gene248,
118	Borowiec2015_Total1080OG218.fasta.aln_gene261,Dunn2008Tribe896,Chang2015tribe896,Hejnol2009Tribe1063_0,Simion2017V2META12821-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG218.fasta.aln_gene25,Ryan2013_estgene261,
119	Dunn2008Tribe1381,Ryan2013_estgene78,Simion2017V2META13434-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG28.fasta.aln_gene32,Borowiec2015_Total1080OG28.fasta.aln_gene339,Chang2015tribe1381_01,Hejnol2009Tribe1531_0,
120	Whelan2017_fullSubset31_02,Hejnol2009Tribe4565_0,Borowiec2015_Best108OG294.fasta.aln_gene33,Simion2017V2META10658-2-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0534,Borowiec2015_Total1080OG294.fasta.aln_gene344,Ryan2013_estgene208,
121	Borowiec2015_Best108OG440.fasta.aln_gene55,Nosenko2013_ribo_14615KOG1753,Chang2015rps16,Dunn2008Tribe242,Philippe2009Gene_0096,Borowiec2015_Total1080OG440.fasta.aln_gene501,Nosenko2013_ribo_11057KOG1753,
122	Whelan2015_D20Gene_0171,Borowiec2015_Best108OG581.fasta.aln_gene74,Whelan2015_D10Gene_0171,Hejnol2009Tribe2976_0,Whelan2015_D1Gene_0171,Borowiec2015_Total1080OG581.fasta.aln_gene645,Simion2017V2META14041-42-Calc_Hmm10-BMGE05,
123	Whelan2015_D1Gene_0251,Borowiec2015_Best108OG716.fasta.aln_gene89,Moroz2014_3d251,Borowiec2015_Total1080OG716.fasta.aln_gene788,Whelan2015_D10Gene_0251,Whelan2015_D20Gene_0251,Whelan2017_strictSubset20,
124	Borowiec2015_Total1080OG88.fasta.aln_gene973,Borowiec2015_Best108OG88.fasta.aln_gene103,Borowiec2015_Total1080OG87.fasta.aln_gene962,Chang2015mcm,Whelan2015_D20Gene_0904,Whelan2015_D10Gene_0904,Whelan2015_D1Gene_0904,
125	Whelan2017_fullSubset10_11,Simion2017V2META11809-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0667,Whelan2015_D10Gene_0667,Borowiec2015_Total1080OG105.fasta.aln_gene56,Whelan2015_D20Gene_0667,Ryan2013_estgene324,
126	Whelan2015_D10Gene_0950,Whelan2015_D20Gene_0950,Hejnol2009Tribe3990_0,Borowiec2015_Total1080OG1052.fasta.aln_gene49,Whelan2015_D1Gene_0950,Moroz2014_3d950,Whelan2017_fullSubset8_03,
127	Borowiec2015_Total1080OG1078.fasta.aln_gene73,Simion2017V2META14972-42-Calc_Hmm10-BMGE05,Ryan2013_estgene239,Whelan2015_D20Gene_0414,Whelan2017_strictSubset24,Whelan2015_D10Gene_0414,Whelan2015_D1Gene_0414,
128	Whelan2015_D10Gene_0086,Simion2017V2META12462-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset4_04,Whelan2015_D1Gene_0086,Borowiec2015_Total1080OG233.fasta.aln_gene278,Whelan2015_D20Gene_0086,Moroz2014_3d86,
129	Whelan2015_D10Gene_0874,Whelan2015_D20Gene_0874,Whelan2015_D1Gene_0874,Borowiec2015_Total1080OG307.fasta.aln_gene358,Simion2017V2META12235-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe5046_0,Borowiec2015_Total1080OG987.fasta.aln_gene1069,
130	Simion2017V2META12005-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG325.fasta.aln_gene377,Whelan2015_D1Gene_0257,Moroz2014_3d257,Whelan2015_D10Gene_0257,Hejnol2009Tribe2953_0,Whelan2015_D20Gene_0257,
131	Whelan2015_D1Gene_0745,Simion2017V2META13283-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG351.fasta.aln_gene405,Moroz2014_3d745,Whelan2017_fullSubset12_06,Whelan2015_D10Gene_0745,Whelan2015_D20Gene_0745,
132	Simion2017V2META13333-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0062,Hejnol2009Tribe2113_0,Ryan2013_estgene212,Borowiec2015_Total1080OG414.fasta.aln_gene473,Whelan2015_D20Gene_0062,Whelan2015_D10Gene_0062,
133	Whelan2015_D10Gene_0394,Whelan2017_fullSubset26_04,Simion2017V2META12097-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG432.fasta.aln_gene493,Whelan2015_D20Gene_0394,Whelan2015_D1Gene_0394,Moroz2014_3d394,
134	Whelan2017_fullSubset4_10,Simion2017V2META13420-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG448.fasta.aln_gene509,Moroz2014_3d487,Whelan2015_D10Gene_0487,Whelan2015_D20Gene_0487,Whelan2015_D1Gene_0487,
135	Whelan2015_D10Gene_0623,Hejnol2009Tribe2787_0,Borowiec2015_Total1080OG450.fasta.aln_gene512,Whelan2017_fullSubset4_13,Whelan2015_D20Gene_0623,Whelan2015_D1Gene_0623,Simion2017V2META14554-42-Calc_Hmm10-BMGE05,
136	Whelan2015_D1Gene_0696,Borowiec2015_Total1080OG490.fasta.aln_gene554,Hejnol2009Tribe3202_0,Moroz2014_3d696,Whelan2015_D10Gene_0696,Simion2017V2META13618-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0696,
137	Borowiec2015_Total1080OG540.fasta.aln_gene604,Nosenko2013_ribo_14615KOG3452,Philippe2009Gene_0078,Dunn2008Tribe319,Chang2015rpl36,Ryan2013_estgene250,Nosenko2013_ribo_11057KOG3452,
138	Simion2017V2META14127-42-Calc_Hmm10-BMGE05,Ryan2013_estgene317,Whelan2015_D10Gene_0143,Whelan2015_D20Gene_0143,Whelan2015_D1Gene_0143,Borowiec2015_Total1080OG687.fasta.aln_gene756,Hejnol2009Tribe1855_0,
139	Whelan2015_D20Gene_0059,Simion2017V2META13534-42-Calc_Hmm10-BMGE05,Ryan2013_estgene93,Borowiec2015_Total1080OG796.fasta.aln_gene872,Hejnol2009Tribe3099_0,Whelan2015_D1Gene_0059,Whelan2015_D10Gene_0059,
140	Simion2017V2META14147-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0920,Borowiec2015_Total1080OG824.fasta.aln_gene904,Whelan2015_D10Gene_0920,Ryan2013_estgene327,Whelan2015_D1Gene_0920,Hejnol2009Tribe2322_0,
141	Whelan2015_D20Gene_0601,Hejnol2009Tribe2827_0,Whelan2017_fullSubset10_09,Borowiec2015_Total1080OG832.fasta.aln_gene912,Whelan2015_D1Gene_0601,Whelan2015_D10Gene_0601,Simion2017V2META14450-42-Calc_Hmm10-BMGE05,
142	Whelan2015_D1Gene_0806,Ryan2013_estgene232,Borowiec2015_Total1080OG836.fasta.aln_gene916,Whelan2017_fullSubset23_05,Hejnol2009Tribe1732_0,Whelan2015_D20Gene_0806,Whelan2015_D10Gene_0806,
143	Whelan2015_D1Gene_0966,Borowiec2015_Total1080OG848.fasta.aln_gene928,Simion2017V2META13712-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0966,Whelan2015_D20Gene_0966,Whelan2017_fullSubset13_07,Hejnol2009Tribe3421_0,
144	Dunn2008Tribe805,Hejnol2009Tribe1043_0,Philippe2009Gene_0001,Ryan2013_estgene118,Simion2017V2META13714-42-Calc_Hmm10-BMGE05,Chang2015ar21,Moroz2014_3d170,
145	Nosenko2013_ribo_14615KOG3403,Hejnol2009Tribe898_0,Nosenko2013_ribo_11057KOG3403,Ryan2013_estgene85,Philippe2009Gene_0022,Chang2015if1a,Dunn2008Tribe696,
146	Nosenko2013_ribo_14615KOG2309,Whelan2017_strictSubset1,Chang2015rpl2,Dunn2008Tribe184,Simion2017V2META12918-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0061,Nosenko2013_ribo_11057KOG2309,
147	Dunn2008Tribe305,Ryan2013_estgene355,Nosenko2013_ribo_11057KOG3436,Philippe2009Gene_0077,Chang2015rpl35,Nosenko2013_ribo_14615KOG3436,Simion2017V2META13964-42-Calc_Hmm10-BMGE05,
148	Whelan2017_fullSubset9_02,Chang2015rps14,Simion2017V2META12944-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0094,Nosenko2013_ribo_14615KOG0407,Nosenko2013_ribo_11057KOG0407,Whelan2017_strictSubset16,
149	Whelan2015_D20Gene_0044,Whelan2015_D10Gene_0044,Whelan2017_fullSubset4_02,Chang2015tribe340,Whelan2015_D1Gene_0044,Dunn2008Tribe340,Ryan2013_estgene89,
150	Simion2017V2META14104-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0622,Hejnol2009Tribe2131_0,Whelan2017_fullSubset15_02,Whelan2015_D1Gene_0622,Ryan2013_estgene357,Whelan2015_D20Gene_0622,
151	Ryan2013_estgene123,Whelan2015_D20Gene_0144,Simion2017V2META13959-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0144,Whelan2015_D1Gene_0144,Whelan2017_fullSubset6_03,Hejnol2009Tribe2192_0,
152	Whelan2017_strictSubset8,Whelan2017_fullSubset10_01,Hejnol2009Tribe2352_0,Whelan2015_D1Gene_0076,Whelan2015_D10Gene_0076,Whelan2015_D20Gene_0076,Moroz2014_3d76,
153	Whelan2015_D10Gene_0786,Whelan2017_fullSubset4_16,Moroz2014_3d786,Whelan2015_D1Gene_0786,Simion2017V2META14978-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe3535_0,Whelan2015_D20Gene_0786,
154	Simion2017V2META13529-42-Calc_Hmm10-BMGE05,Moroz2014_3d289,Whelan2015_D1Gene_0289,Hejnol2009Tribe3898_0,Whelan2015_D20Gene_0289,Whelan2015_D10Gene_0289,Whelan2017_fullSubset12_02,
155	Borowiec2015_Total1080OG1010.fasta.aln_gene10,Ryan2013_estgene293,Chang2015pace2_01,Simion2017V2META11065-1-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG1010.fasta.aln_gene3,Ryan2013_estgene55,
156	Hejnol2009Tribe1169_0,Chang2015pace2,Simion2017V2META11065-2-42-Calc_Hmm10-BMGE05,Ryan2013_estgene152,Borowiec2015_Total1080OG1011.fasta.aln_gene11,Borowiec2015_Best108OG1011.fasta.aln_gene4,
157	Simion2017V2META14114-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0691,Whelan2015_D20Gene_0691,Whelan2015_D1Gene_0691,Borowiec2015_Total1080OG2.fasta.aln_gene350,Borowiec2015_Best108OG2.fasta.aln_gene36,
158	Whelan2015_D20Gene_0208,Borowiec2015_Best108OG209.fasta.aln_gene23,Simion2017V2META12745-1-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0208,Borowiec2015_Total1080OG209.fasta.aln_gene252,Whelan2015_D10Gene_0208,
159	Borowiec2015_Best108OG482.fasta.aln_gene59,Hejnol2009Tribe1795_0,Whelan2017_fullSubset31_05,Simion2017V2META14056-42-Calc_Hmm10-BMGE05,Ryan2013_estgene289,Borowiec2015_Total1080OG482.fasta.aln_gene545,
160	Dunn2008Tribe1489,Ryan2013_estgene34,Hejnol2009Tribe1736_0,Simion2017V2META14482-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG890.fasta.aln_gene104,Borowiec2015_Total1080OG890.fasta.aln_gene974,
161	Ryan2013_estgene200,Simion2017V2META12682-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0105,Whelan2015_D1Gene_0105,Whelan2015_D20Gene_0105,Borowiec2015_Total1080OG1149.fasta.aln_gene141,
162	Whelan2015_D10Gene_0983,Whelan2015_D20Gene_0983,Simion2017V2META13725-42-Calc_Hmm10-BMGE05,Moroz2014_3d983,Whelan2015_D1Gene_0983,Borowiec2015_Total1080OG225.fasta.aln_gene269,
163	Moroz2014_3d963,Whelan2015_D20Gene_0963,Borowiec2015_Total1080OG243.fasta.aln_gene289,Hejnol2009Tribe2898_0,Whelan2015_D1Gene_0963,Whelan2015_D10Gene_0963,
164	Nosenko2013_ribo_14615KOG2916,Philippe2009Gene_0123,Hejnol2009Tribe1170_0,Chang2015tif2a,Borowiec2015_Total1080OG274.fasta.aln_gene322,Ryan2013_estgene297,
165	Whelan2015_D1Gene_0123,Hejnol2009Tribe1522_0,Borowiec2015_Total1080OG275.fasta.aln_gene323,Whelan2015_D10Gene_0123,Ryan2013_estgene314,Whelan2015_D20Gene_0123,
166	Whelan2015_D10Gene_0045,Whelan2015_D20Gene_0045,Simion2017V2META13630-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG315.fasta.aln_gene367,Whelan2015_D1Gene_0045,Hejnol2009Tribe2726_0,
167	Borowiec2015_Total1080OG341.fasta.aln_gene394,Whelan2015_D1Gene_0268,Whelan2015_D20Gene_0268,Whelan2017_fullSubset21_02,Simion2017V2META14030-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0268,
168	Whelan2017_fullSubset22_05,Borowiec2015_Total1080OG382.fasta.aln_gene437,Whelan2015_D1Gene_0614,Whelan2015_D20Gene_0614,Whelan2015_D10Gene_0614,Moroz2014_3d614,
169	Whelan2015_D20Gene_0372,Moroz2014_3d372,Whelan2015_D1Gene_0372,Whelan2015_D10Gene_0372,Simion2017V2META13520-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG429.fasta.aln_gene489,
170	Whelan2015_D1Gene_0177,Whelan2017_fullSubset19_01,Borowiec2015_Total1080OG463.fasta.aln_gene525,Whelan2015_D20Gene_0177,Whelan2015_D10Gene_0177,Simion2017V2META14562-42-Calc_Hmm10-BMGE05,
171	Dunn2008Tribe852,Borowiec2015_Total1080OG519.fasta.aln_gene582,Ryan2013_estgene199,Simion2017V2META15229-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1265_0,Chang2015tribe852,
172	Whelan2015_D20Gene_0813,Whelan2015_D1Gene_0813,Simion2017V2META13647-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0813,Borowiec2015_Total1080OG531.fasta.aln_gene594,Hejnol2009Tribe3062_0,
173	Whelan2015_D20Gene_0709,Whelan2015_D10Gene_0709,Whelan2017_fullSubset29_04,Borowiec2015_Total1080OG606.fasta.aln_gene673,Simion2017V2META13723-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0709,
174	Whelan2015_D10Gene_0727,Whelan2015_D20Gene_0727,Hejnol2009Tribe2321_0,Moroz2014_3d727,Borowiec2015_Total1080OG668.fasta.aln_gene735,Whelan2015_D1Gene_0727,
175	Whelan2015_D20Gene_0974,Whelan2015_D10Gene_0974,Hejnol2009Tribe3869_0,Borowiec2015_Total1080OG799.fasta.aln_gene875,Simion2017V2META14498-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0974,
176	Hejnol2009Tribe2270_0,Whelan2015_D20Gene_0407,Borowiec2015_Total1080OG800.fasta.aln_gene878,Whelan2015_D10Gene_0407,Whelan2015_D1Gene_0407,Simion2017V2META14602-42-Calc_Hmm10-BMGE05,
177	Moroz2014_3d969,Whelan2015_D1Gene_0969,Whelan2015_D20Gene_0969,Hejnol2009Tribe2744_0,Whelan2015_D10Gene_0969,Borowiec2015_Total1080OG810.fasta.aln_gene889,
178	Simion2017V2META13570-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0863,Hejnol2009Tribe3220_0,Moroz2014_3d863,Whelan2015_D1Gene_0863,Borowiec2015_Total1080OG823.fasta.aln_gene903,
179	Simion2017V2META14346-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0408,Whelan2015_D1Gene_0408,Hejnol2009Tribe3744_0,Moroz2014_3d408,Borowiec2015_Total1080OG860.fasta.aln_gene941,
180	Whelan2015_D20Gene_0346,Borowiec2015_Total1080OG9.fasta.aln_gene1080,Simion2017V2META14464-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0346,Whelan2015_D1Gene_0346,Ryan2013_estgene353,
181	Whelan2015_D10Gene_0390,Simion2017V2META13984-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0390,Whelan2017_fullSubset19_03,Borowiec2015_Total1080OG957.fasta.aln_gene1042,Whelan2015_D20Gene_0390,
182	Dunn2008Tribe1051,Simion2017V2META14606-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0002,Hejnol2009Tribe1382_0,Chang2015arc20,Ryan2013_estgene165,
183	Philippe2009Gene_0054,Ryan2013_estgene291,Nosenko2013_ribo_11057KOG3295,Chang2015rpl13,Nosenko2013_ribo_14615KOG3295,Simion2017V2META12931-42-Calc_Hmm10-BMGE05,
184	Nosenko2013_ribo_11057KOG0829,Simion2017V2META13092-42-Calc_Hmm10-BMGE05,Chang2015rpl20,Philippe2009Gene_0062,Dunn2008Tribe232,Nosenko2013_ribo_14615KOG0829,
185	Nosenko2013_ribo_14615KOG1742,Chang2015rpl27,Philippe2009Gene_0070,Dunn2008Tribe193,Nosenko2013_ribo_11057KOG1742,Hejnol2009Tribe297_0,
186	Chang2015rpl30,Dunn2008Tribe345,Simion2017V2META14574-42-Calc_Hmm10-BMGE05,Nosenko2013_ribo_11057KOG2988,Nosenko2013_ribo_14615KOG2988,Philippe2009Gene_0072,
187	Nosenko2013_ribo_11057KOG0402,Whelan2017_strictSubset31,Whelan2017_fullSubset40_01,Philippe2009Gene_0083,Chang2015rpl43b,Nosenko2013_ribo_14615KOG0402,
188	Chang2015rps10,Simion2017V2META13241-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0091,Nosenko2013_ribo_11057KOG3344,Nosenko2013_ribo_14615KOG3344,Ryan2013_estgene258,
189	Nosenko2013_ribo_11057KOG1728,Philippe2009Gene_0092,Dunn2008Tribe273,Chang2015rps11,Nosenko2013_ribo_14615KOG1728,Ryan2013_estgene242,
190	Nosenko2013_ribo_11057KOG0187,Chang2015rps17,Ryan2013_estgene323,Dunn2008Tribe299,Philippe2009Gene_0097,Nosenko2013_ribo_14615KOG0187,
191	Chang2015rps23,Nosenko2013_ribo_11057KOG1749,Nosenko2013_ribo_14615KOG1749,Whelan2017_fullSubset9_03,Philippe2009Gene_0103,Whelan2017_strictSubset7_01,
192	Nosenko2013_ribo_14615KOG3502,Ryan2013_estgene109,Chang2015rps28a,Philippe2009Gene_0109,Nosenko2013_ribo_11057KOG3502,Dunn2008Tribe321,
193	Philippe2009Gene_0112,Nosenko2013_ribo_11057KOG0378,Nosenko2013_ribo_14615KOG0378,Simion2017V2META12820-42-Calc_Hmm10-BMGE05,Ryan2013_estgene46,Chang2015rps4,
194	Ryan2013_estgene25,Hejnol2009Tribe2039_0,Whelan2015_D20Gene_0070,Simion2017V2META13245-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0070,Whelan2015_D1Gene_0070,
195	Whelan2017_fullSubset20_01,Whelan2015_D20Gene_0180,Hejnol2009Tribe2430_0,Whelan2015_D1Gene_0180,Whelan2015_D10Gene_0180,Moroz2014_3d180,
196	Hejnol2009Tribe2580_0,Moroz2014_3d146,Simion2017V2META13726-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0146,Whelan2015_D20Gene_0146,Whelan2015_D10Gene_0146,
197	Hejnol2009Tribe2614_0,Simion2017V2META13441-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0808,Whelan2015_D10Gene_0808,Whelan2015_D20Gene_0808,Ryan2013_estgene305,
198	Whelan2015_D10Gene_0657,Whelan2015_D20Gene_0657,Hejnol2009Tribe2800_0,Whelan2015_D1Gene_0657,Whelan2017_fullSubset35_01,Simion2017V2META14775-42-Calc_Hmm10-BMGE05,
199	Whelan2017_fullSubset20_03,Whelan2015_D20Gene_0654,Simion2017V2META14040-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe3284_0,Whelan2015_D1Gene_0654,Whelan2015_D10Gene_0654,
200	Simion2017V2META14466-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0140,Hejnol2009Tribe3300_0,Whelan2015_D1Gene_0140,Whelan2017_fullSubset10_02,Whelan2015_D10Gene_0140,
201	Simion2017V2META16417-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0626,Hejnol2009Tribe3426_0,Whelan2015_D1Gene_0626,Whelan2015_D20Gene_0626,Moroz2014_3d626,
202	Simion2017V2META13258-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0644,Whelan2017_fullSubset12_04,Whelan2015_D20Gene_0644,Whelan2015_D1Gene_0644,Moroz2014_3d644,
203	Whelan2015_D10Gene_0802,Whelan2015_D20Gene_0802,Whelan2017_fullSubset33_02,Simion2017V2META14348-42-Calc_Hmm10-BMGE05,Moroz2014_3d802,Whelan2015_D1Gene_0802,
204	Moroz2014_3d921,Whelan2015_D1Gene_0921,Whelan2015_D20Gene_0921,Simion2017V2META14360-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0921,Whelan2017_fullSubset7_05,
205	Nosenko2013_nonribo_9187KOG0543,Whelan2015_D10Gene_0152,Whelan2015_D20Gene_0152,Whelan2017_fullSubset16_01,Whelan2015_D1Gene_0152,Simion2017V2META15287-42-Calc_Hmm10-BMGE05,
206	Whelan2015_D20Gene_0064,Simion2017V2META12465-42-Calc_Hmm10-BMGE05,Ryan2013_estgene10,Whelan2015_D1Gene_0064,Whelan2015_D10Gene_0064,Whelan2017_fullSubset3_02,
207	Whelan2015_D1Gene_0645,Whelan2015_D10Gene_0645,Whelan2017_fullSubset13_05,Whelan2015_D20Gene_0645,Ryan2013_estgene102,Simion2017V2META12200-42-Calc_Hmm10-BMGE05,
208	Whelan2015_D10Gene_0348,Whelan2017_strictSubset23,Whelan2017_fullSubset13_03,Whelan2015_D1Gene_0348,Simion2017V2META14095-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0348,
209	Ryan2013_estgene33,Borowiec2015_Best108OG1111.fasta.aln_gene6,Simion2017V2META14533-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2723_0,Borowiec2015_Total1080OG1111.fasta.aln_gene103,
210	Simion2017V2META13368-42-Calc_Hmm10-BMGE05,Ryan2013_estgene56,Borowiec2015_Best108OG327.fasta.aln_gene39,Hejnol2009Tribe1698_0,Borowiec2015_Total1080OG327.fasta.aln_gene379,
211	Hejnol2009Tribe3231_0,Borowiec2015_Total1080OG365.fasta.aln_gene419,Simion2017V2META13391-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG365.fasta.aln_gene42,Simion2017V2META13159-42-Calc_Hmm10-BMGE05,
212	Hejnol2009Tribe1263_0,Ryan2013_estgene53,Borowiec2015_Total1080OG518.fasta.aln_gene581,Borowiec2015_Best108OG518.fasta.aln_gene64,Simion2017V2META11141-2-42-Calc_Hmm10-BMGE05,
213	Hejnol2009Tribe4187_0,Simion2017V2META13806-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG559.fasta.aln_gene70,Ryan2013_estgene256,Borowiec2015_Total1080OG559.fasta.aln_gene621,
214	Borowiec2015_Best108OG642.fasta.aln_gene81,Simion2017V2META13395-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2311_0,Borowiec2015_Total1080OG642.fasta.aln_gene707,Ryan2013_estgene111,
215	Borowiec2015_Best108OG726.fasta.aln_gene90,Borowiec2015_Total1080OG726.fasta.aln_gene798,Simion2017V2META14227-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1657_0,Ryan2013_estgene36,
216	Borowiec2015_Best108OG750.fasta.aln_gene91,Simion2017V2META13551-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2460_0,Ryan2013_estgene26,Borowiec2015_Total1080OG750.fasta.aln_gene824,
217	Simion2017V2META14098-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG803.fasta.aln_gene95,Ryan2013_estgene349,Hejnol2009Tribe2457_0,Borowiec2015_Total1080OG803.fasta.aln_gene881,
218	Borowiec2015_Total1080OG954.fasta.aln_gene1039,Ryan2013_estgene228,Borowiec2015_Best108OG954.fasta.aln_gene107,Simion2017V2META10380-2-42-Calc_Hmm10-BMGE05,Moroz2014_3d1035,
219	Borowiec2015_Total1080OG504.fasta.aln_gene569,Hejnol2009Tribe3072_0,Borowiec2015_Total1080OG1015.fasta.aln_gene15,Simion2017V2META14153-42-Calc_Hmm10-BMGE05,Simion2017V2META14898-42-Calc_Hmm10-BMGE05,
220	Simion2017V2META13954-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset5_07,Hejnol2009Tribe2197_0,Borowiec2015_Total1080OG116.fasta.aln_gene156,Ryan2013_estgene396,
221	Borowiec2015_Total1080OG128.fasta.aln_gene168,Philippe2009Gene_0014,Simion2017V2META12716-42-Calc_Hmm10-BMGE05,Chang2015crfg,Whelan2017_strictSubset2,
222	Simion2017V2META12172-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0016,Whelan2015_D20Gene_0016,Whelan2015_D10Gene_0016,Borowiec2015_Total1080OG181.fasta.aln_gene222,
223	Whelan2015_D1Gene_0305,Hejnol2009Tribe3016_0,Whelan2015_D20Gene_0305,Borowiec2015_Total1080OG182.fasta.aln_gene223,Whelan2015_D10Gene_0305,
224	Simion2017V2META14203-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1806_0,Chang2015fpps,Borowiec2015_Total1080OG258.fasta.aln_gene305,Ryan2013_estgene12,
225	Whelan2015_D1Gene_0834,Borowiec2015_Total1080OG285.fasta.aln_gene334,Simion2017V2META15136-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0834,Whelan2015_D20Gene_0834,
226	Whelan2015_D20Gene_0135,Whelan2015_D10Gene_0135,Whelan2015_D1Gene_0135,Borowiec2015_Total1080OG291.fasta.aln_gene341,Hejnol2009Tribe4375_0,
227	Ryan2013_estgene198,Simion2017V2META13457-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe832_0,Dunn2008Tribe716,Borowiec2015_Total1080OG308.fasta.aln_gene359,
228	Nosenko2013_ribo_14615KOG1732,Chang2015rpl21,Nosenko2013_ribo_11057KOG1732,Philippe2009Gene_0063,Borowiec2015_Total1080OG326.fasta.aln_gene378,
229	Borowiec2015_Total1080OG337.fasta.aln_gene389,Chang2015if2g,Hejnol2009Tribe2206_0,Nosenko2013_ribo_14615KOG0466,Philippe2009Gene_0024,
230	Ryan2013_estgene223,Borowiec2015_Total1080OG340.fasta.aln_gene393,Dunn2008Tribe895,Hejnol2009Tribe1195_0,Simion2017V2META13780-42-Calc_Hmm10-BMGE05,
