	component_number	matrix_partition
1227	191	Nosenko2013_ribo_14615KOG1749
1228	191	Whelan2017_fullSubset9_03
1229	191	Philippe2009Gene_0103
1230	191	Whelan2017_strictSubset7_01
1231	192	Nosenko2013_ribo_14615KOG3502
1232	192	Ryan2013_estgene109
1233	192	Chang2015rps28a
1234	192	Philippe2009Gene_0109
1235	192	Nosenko2013_ribo_11057KOG3502
1236	192	Dunn2008Tribe321
1237	193	Philippe2009Gene_0112
1238	193	Nosenko2013_ribo_11057KOG0378
1239	193	Nosenko2013_ribo_14615KOG0378
1240	193	Simion2017V2META12820-42-Calc_Hmm10-BMGE05
1241	193	Ryan2013_estgene46
1242	193	Chang2015rps4
1243	194	Ryan2013_estgene25
1244	194	Hejnol2009Tribe2039_0
1245	194	Whelan2015_D20Gene_0070
1246	194	Simion2017V2META13245-42-Calc_Hmm10-BMGE05
1247	194	Whelan2015_D10Gene_0070
1248	194	Whelan2015_D1Gene_0070
1249	195	Whelan2017_fullSubset20_01
1250	195	Whelan2015_D20Gene_0180
1251	195	Hejnol2009Tribe2430_0
1252	195	Whelan2015_D1Gene_0180
1253	195	Whelan2015_D10Gene_0180
1254	195	Moroz2014_3d180
1255	196	Hejnol2009Tribe2580_0
1256	196	Moroz2014_3d146
1257	196	Simion2017V2META13726-42-Calc_Hmm10-BMGE05
1258	196	Whelan2015_D1Gene_0146
1259	196	Whelan2015_D20Gene_0146
1260	196	Whelan2015_D10Gene_0146
1261	197	Hejnol2009Tribe2614_0
1262	197	Simion2017V2META13441-42-Calc_Hmm10-BMGE05
1263	197	Whelan2015_D1Gene_0808
1264	197	Whelan2015_D10Gene_0808
1265	197	Whelan2015_D20Gene_0808
1266	197	Ryan2013_estgene305
1267	198	Whelan2015_D10Gene_0657
1268	198	Whelan2015_D20Gene_0657
1269	198	Hejnol2009Tribe2800_0
1270	198	Whelan2015_D1Gene_0657
1271	198	Whelan2017_fullSubset35_01
1272	198	Simion2017V2META14775-42-Calc_Hmm10-BMGE05
1273	199	Whelan2017_fullSubset20_03
1274	199	Whelan2015_D20Gene_0654
1275	199	Simion2017V2META14040-42-Calc_Hmm10-BMGE05
1276	199	Hejnol2009Tribe3284_0
1277	199	Whelan2015_D1Gene_0654
1278	199	Whelan2015_D10Gene_0654
1279	200	Simion2017V2META14466-42-Calc_Hmm10-BMGE05
1280	200	Whelan2015_D20Gene_0140
1281	200	Hejnol2009Tribe3300_0
1282	200	Whelan2015_D1Gene_0140
1283	200	Whelan2017_fullSubset10_02
1284	200	Whelan2015_D10Gene_0140
1285	201	Simion2017V2META16417-42-Calc_Hmm10-BMGE05
1286	201	Whelan2015_D10Gene_0626
1287	201	Hejnol2009Tribe3426_0
1288	201	Whelan2015_D1Gene_0626
1289	201	Whelan2015_D20Gene_0626
1290	201	Moroz2014_3d626
1291	202	Simion2017V2META13258-42-Calc_Hmm10-BMGE05
1292	202	Whelan2015_D10Gene_0644
1293	202	Whelan2017_fullSubset12_04
1294	202	Whelan2015_D20Gene_0644
1295	202	Whelan2015_D1Gene_0644
1296	202	Moroz2014_3d644
1297	203	Whelan2015_D10Gene_0802
1298	203	Whelan2015_D20Gene_0802
1299	203	Whelan2017_fullSubset33_02
1300	203	Simion2017V2META14348-42-Calc_Hmm10-BMGE05
1301	203	Moroz2014_3d802
1302	203	Whelan2015_D1Gene_0802
1303	204	Moroz2014_3d921
1304	204	Whelan2015_D1Gene_0921
1305	204	Whelan2015_D20Gene_0921
1306	204	Simion2017V2META14360-42-Calc_Hmm10-BMGE05
1307	204	Whelan2015_D10Gene_0921
1308	204	Whelan2017_fullSubset7_05
1309	205	Nosenko2013_nonribo_9187KOG0543
1310	205	Whelan2015_D10Gene_0152
1311	205	Whelan2015_D20Gene_0152
1312	205	Whelan2017_fullSubset16_01
1313	205	Whelan2015_D1Gene_0152
1314	205	Simion2017V2META15287-42-Calc_Hmm10-BMGE05
1315	206	Whelan2015_D20Gene_0064
1316	206	Simion2017V2META12465-42-Calc_Hmm10-BMGE05
1317	206	Ryan2013_estgene10
1318	206	Whelan2015_D1Gene_0064
1319	206	Whelan2015_D10Gene_0064
1320	206	Whelan2017_fullSubset3_02
1321	207	Whelan2015_D1Gene_0645
1322	207	Whelan2015_D10Gene_0645
1323	207	Whelan2017_fullSubset13_05
1324	207	Whelan2015_D20Gene_0645
1325	207	Ryan2013_estgene102
1326	207	Simion2017V2META12200-42-Calc_Hmm10-BMGE05
1327	208	Whelan2015_D10Gene_0348
1328	208	Whelan2017_strictSubset23
1329	208	Whelan2017_fullSubset13_03
1330	208	Whelan2015_D1Gene_0348
1331	208	Simion2017V2META14095-42-Calc_Hmm10-BMGE05
1332	208	Whelan2015_D20Gene_0348
1333	209	Ryan2013_estgene33
1334	209	Borowiec2015_Best108OG1111.fasta.aln_gene6
1335	209	Simion2017V2META14533-42-Calc_Hmm10-BMGE05
1336	209	Hejnol2009Tribe2723_0
1337	209	Borowiec2015_Total1080OG1111.fasta.aln_gene103
1338	210	Simion2017V2META13368-42-Calc_Hmm10-BMGE05
1339	210	Ryan2013_estgene56
1340	210	Borowiec2015_Best108OG327.fasta.aln_gene39
1341	210	Hejnol2009Tribe1698_0
1342	210	Borowiec2015_Total1080OG327.fasta.aln_gene379
1343	211	Hejnol2009Tribe3231_0
1344	211	Borowiec2015_Total1080OG365.fasta.aln_gene419
1345	211	Simion2017V2META13391-42-Calc_Hmm10-BMGE05
1346	211	Borowiec2015_Best108OG365.fasta.aln_gene42
1347	211	Simion2017V2META13159-42-Calc_Hmm10-BMGE05
1348	212	Hejnol2009Tribe1263_0
1349	212	Ryan2013_estgene53
1350	212	Borowiec2015_Total1080OG518.fasta.aln_gene581
1351	212	Borowiec2015_Best108OG518.fasta.aln_gene64
1352	212	Simion2017V2META11141-2-42-Calc_Hmm10-BMGE05
1353	213	Hejnol2009Tribe4187_0
1354	213	Simion2017V2META13806-42-Calc_Hmm10-BMGE05
1355	213	Borowiec2015_Best108OG559.fasta.aln_gene70
1356	213	Ryan2013_estgene256
1357	213	Borowiec2015_Total1080OG559.fasta.aln_gene621
1358	214	Borowiec2015_Best108OG642.fasta.aln_gene81
1359	214	Simion2017V2META13395-42-Calc_Hmm10-BMGE05
1360	214	Hejnol2009Tribe2311_0
1361	214	Borowiec2015_Total1080OG642.fasta.aln_gene707
1362	214	Ryan2013_estgene111
1363	215	Borowiec2015_Best108OG726.fasta.aln_gene90
1364	215	Borowiec2015_Total1080OG726.fasta.aln_gene798
1365	215	Simion2017V2META14227-42-Calc_Hmm10-BMGE05
1366	215	Hejnol2009Tribe1657_0
1367	215	Ryan2013_estgene36
1368	216	Borowiec2015_Best108OG750.fasta.aln_gene91
1369	216	Simion2017V2META13551-42-Calc_Hmm10-BMGE05
1370	216	Hejnol2009Tribe2460_0
1371	216	Ryan2013_estgene26
1372	216	Borowiec2015_Total1080OG750.fasta.aln_gene824
1373	217	Simion2017V2META14098-42-Calc_Hmm10-BMGE05
1374	217	Borowiec2015_Best108OG803.fasta.aln_gene95
1375	217	Ryan2013_estgene349
1376	217	Hejnol2009Tribe2457_0
1377	217	Borowiec2015_Total1080OG803.fasta.aln_gene881
1378	218	Borowiec2015_Total1080OG954.fasta.aln_gene1039
1379	218	Ryan2013_estgene228
1380	218	Borowiec2015_Best108OG954.fasta.aln_gene107
1381	218	Simion2017V2META10380-2-42-Calc_Hmm10-BMGE05
1382	218	Moroz2014_3d1035
1383	219	Borowiec2015_Total1080OG504.fasta.aln_gene569
1384	219	Hejnol2009Tribe3072_0
1385	219	Borowiec2015_Total1080OG1015.fasta.aln_gene15
1386	219	Simion2017V2META14153-42-Calc_Hmm10-BMGE05
1387	219	Simion2017V2META14898-42-Calc_Hmm10-BMGE05
1388	220	Simion2017V2META13954-42-Calc_Hmm10-BMGE05
1389	220	Whelan2017_fullSubset5_07
1390	220	Hejnol2009Tribe2197_0
1391	220	Borowiec2015_Total1080OG116.fasta.aln_gene156
1392	220	Ryan2013_estgene396
1393	221	Borowiec2015_Total1080OG128.fasta.aln_gene168
1394	221	Philippe2009Gene_0014
1395	221	Simion2017V2META12716-42-Calc_Hmm10-BMGE05
1396	221	Chang2015crfg
1397	221	Whelan2017_strictSubset2
1398	222	Simion2017V2META12172-42-Calc_Hmm10-BMGE05
1399	222	Whelan2015_D1Gene_0016
1400	222	Whelan2015_D20Gene_0016
1401	222	Whelan2015_D10Gene_0016
1402	222	Borowiec2015_Total1080OG181.fasta.aln_gene222
1403	223	Whelan2015_D1Gene_0305
1404	223	Hejnol2009Tribe3016_0
1405	223	Whelan2015_D20Gene_0305
1406	223	Borowiec2015_Total1080OG182.fasta.aln_gene223
1407	223	Whelan2015_D10Gene_0305
1408	224	Simion2017V2META14203-42-Calc_Hmm10-BMGE05
1409	224	Hejnol2009Tribe1806_0
1410	224	Chang2015fpps
1411	224	Borowiec2015_Total1080OG258.fasta.aln_gene305
1412	224	Ryan2013_estgene12
1413	225	Whelan2015_D1Gene_0834
1414	225	Borowiec2015_Total1080OG285.fasta.aln_gene334
1415	225	Simion2017V2META15136-42-Calc_Hmm10-BMGE05
1416	225	Whelan2015_D10Gene_0834
1417	225	Whelan2015_D20Gene_0834
1418	226	Whelan2015_D20Gene_0135
1419	226	Whelan2015_D10Gene_0135
1420	226	Whelan2015_D1Gene_0135
1421	226	Borowiec2015_Total1080OG291.fasta.aln_gene341
1422	226	Hejnol2009Tribe4375_0
1423	227	Ryan2013_estgene198
1424	227	Simion2017V2META13457-42-Calc_Hmm10-BMGE05
1425	227	Hejnol2009Tribe832_0
1426	227	Dunn2008Tribe716
1427	227	Borowiec2015_Total1080OG308.fasta.aln_gene359
1428	228	Nosenko2013_ribo_14615KOG1732
1429	228	Chang2015rpl21
1430	228	Nosenko2013_ribo_11057KOG1732
1431	228	Philippe2009Gene_0063
1432	228	Borowiec2015_Total1080OG326.fasta.aln_gene378
1433	229	Borowiec2015_Total1080OG337.fasta.aln_gene389
1434	229	Chang2015if2g
1435	229	Hejnol2009Tribe2206_0
1436	229	Nosenko2013_ribo_14615KOG0466
1437	229	Philippe2009Gene_0024
1438	230	Ryan2013_estgene223
1439	230	Borowiec2015_Total1080OG340.fasta.aln_gene393
1440	230	Dunn2008Tribe895
1441	230	Hejnol2009Tribe1195_0
1442	230	Simion2017V2META13780-42-Calc_Hmm10-BMGE05
1443	231	Borowiec2015_Total1080OG353.fasta.aln_gene407
1444	231	Whelan2015_D1Gene_0415
1445	231	Whelan2015_D10Gene_0415
1446	231	Moroz2014_3d415
1447	231	Whelan2015_D20Gene_0415
1448	232	Whelan2015_D20Gene_0639
1449	232	Whelan2017_fullSubset33_01
1450	232	Whelan2015_D1Gene_0639
1451	232	Borowiec2015_Total1080OG357.fasta.aln_gene411
1452	232	Whelan2015_D10Gene_0639
1453	233	Borowiec2015_Total1080OG647.fasta.aln_gene712
1454	233	Borowiec2015_Total1080OG383.fasta.aln_gene438
1455	233	Ryan2013_estgene222
1456	233	Simion2017V2META12900-42-Calc_Hmm10-BMGE05
1457	233	Simion2017V2META15885-42-Calc_Hmm10-BMGE05
1458	234	Whelan2017_fullSubset13_02
1459	234	Borowiec2015_Total1080OG395.fasta.aln_gene451
1460	234	Moroz2014_3d205
1461	234	Whelan2015_D1Gene_0205
1462	234	Simion2017V2META12748-42-Calc_Hmm10-BMGE05
1463	235	Whelan2015_D10Gene_0037
1464	235	Whelan2015_D20Gene_0037
1465	235	Borowiec2015_Total1080OG403.fasta.aln_gene461
1466	235	Simion2017V2META12952-42-Calc_Hmm10-BMGE05
1467	235	Whelan2015_D1Gene_0037
1468	236	Ryan2013_estgene1
1469	236	Ryan2013_estgene299
1470	236	Hejnol2009Tribe2219_0
1471	236	Simion2017V2META15344-42-Calc_Hmm10-BMGE05
1472	236	Borowiec2015_Total1080OG415.fasta.aln_gene474
1473	237	Nosenko2013_ribo_14615KOG2646
1474	237	Philippe2009Gene_0113
1475	237	Chang2015rps5
1476	237	Borowiec2015_Total1080OG428.fasta.aln_gene488
1477	237	Nosenko2013_ribo_11057KOG2646
1478	238	Borowiec2015_Total1080OG494.fasta.aln_gene558
1479	238	Whelan2017_fullSubset7_01
1480	238	Ryan2013_estgene114
1481	238	Simion2017V2META13582-42-Calc_Hmm10-BMGE05
1482	238	Hejnol2009Tribe1796_0
1483	239	Simion2017V2META10224-1-2-2-42-Calc_Hmm10-BMGE05
1484	239	Simion2017V2META13787-42-Calc_Hmm10-BMGE05
1485	239	Simion2017V2META13035-42-Calc_Hmm10-BMGE05
1486	239	Nosenko2013_nonribo_9187KOG0084
1487	239	Borowiec2015_Total1080OG497.fasta.aln_gene561
1488	240	Simion2017V2META15687-42-Calc_Hmm10-BMGE05
1489	240	Borowiec2015_Total1080OG53.fasta.aln_gene603
1490	240	Whelan2015_D20Gene_0384
1491	240	Whelan2015_D10Gene_0384
1492	240	Whelan2015_D1Gene_0384
1493	241	Borowiec2015_Total1080OG533.fasta.aln_gene596
1494	241	Hejnol2009Tribe1313_0
1495	241	Chang2015if2b
1496	241	Philippe2009Gene_0023
1497	241	Nosenko2013_ribo_14615KOG2768
1498	242	Simion2017V2META13228-42-Calc_Hmm10-BMGE05
1499	242	Ryan2013_estgene243
1500	242	Whelan2017_fullSubset4_03
1501	242	Borowiec2015_Total1080OG626.fasta.aln_gene690
1502	242	Moroz2014_3d74
1503	243	Simion2017V2META12743-42-Calc_Hmm10-BMGE05
1504	243	Borowiec2015_Total1080OG635.fasta.aln_gene700
1505	243	Whelan2017_fullSubset10_17
1506	243	Whelan2017_strictSubset12_01
1507	243	Hejnol2009Tribe2330_0
1508	244	Nosenko2013_ribo_14615KOG1768
1509	244	Chang2015rps26
1510	244	Borowiec2015_Total1080OG663.fasta.aln_gene730
1511	244	Nosenko2013_ribo_11057KOG1768
1512	244	Philippe2009Gene_0106
1513	245	Whelan2015_D10Gene_0958
1514	245	Borowiec2015_Total1080OG669.fasta.aln_gene736
1515	245	Whelan2017_fullSubset21_09
1516	245	Whelan2015_D1Gene_0958
1517	245	Whelan2015_D20Gene_0958
1518	246	Borowiec2015_Total1080OG676.fasta.aln_gene744
1519	246	Moroz2014_3d911
1520	246	Whelan2015_D1Gene_0911
1521	246	Simion2017V2META12167-42-Calc_Hmm10-BMGE05
1522	246	Whelan2015_D10Gene_0911
1523	247	Borowiec2015_Total1080OG704.fasta.aln_gene775
1524	247	Whelan2015_D10Gene_0822
1525	247	Whelan2015_D20Gene_0822
1526	247	Whelan2015_D1Gene_0822
1527	247	Simion2017V2META14268-1-42-Calc_Hmm10-BMGE05
1528	248	Whelan2015_D20Gene_0964
1529	248	Whelan2015_D10Gene_0964
1530	248	Whelan2017_fullSubset18_05
1531	248	Borowiec2015_Total1080OG834.fasta.aln_gene914
1532	248	Whelan2015_D1Gene_0964
1533	249	Simion2017V2META14033-42-Calc_Hmm10-BMGE05
1534	249	Borowiec2015_Total1080OG859.fasta.aln_gene939
1535	249	Whelan2017_fullSubset22_01
1536	249	Hejnol2009Tribe3923_0
1537	249	Moroz2014_3d207
1538	250	Whelan2015_D1Gene_0073
1539	250	Borowiec2015_Total1080OG908.fasta.aln_gene994
1540	250	Hejnol2009Tribe3194_0
1541	250	Whelan2015_D10Gene_0073
1542	250	Whelan2015_D20Gene_0073
1543	251	Whelan2017_fullSubset23_02
1544	251	Simion2017V2META15223-42-Calc_Hmm10-BMGE05
1545	251	Borowiec2015_Total1080OG927.fasta.aln_gene1011
1546	251	Ryan2013_estgene379
1547	251	Hejnol2009Tribe2088_0
1548	252	Hejnol2009Tribe1393_0
1549	252	Simion2017V2META15705-42-Calc_Hmm10-BMGE05
1550	252	Ryan2013_estgene278
1551	252	Borowiec2015_Total1080OG973.fasta.aln_gene1057
1552	252	Dunn2008Tribe1165
1553	253	Ryan2013_estgene18
1554	253	Nosenko2013_ribo_14615KOG0052
1555	253	Simion2017V2META10197-2-1-2-42-Calc_Hmm10-BMGE05
1556	253	Chang2015ef1
1557	253	Nosenko2013_ribo_11057KOG0052
1558	254	Chang2015nsf1
1559	254	Simion2017V2META10203-2-2-1-42-Calc_Hmm10-BMGE05
1560	254	Philippe2009Gene_0033
1561	254	Whelan2015_D1Gene_0891
1562	254	Whelan2015_D10Gene_0891
1563	255	Dunn2008Tribe226
1564	255	Chang2015rla2
1565	255	Nosenko2013_ribo_14615KOG1762
1566	255	Nosenko2013_ribo_11057KOG1762
1567	255	Ryan2013_estgene251
1568	256	Nosenko2013_ribo_11057KOG1678
1569	256	Chang2015rpl15a
1570	256	Philippe2009Gene_0056
1571	256	Simion2017V2META12945-42-Calc_Hmm10-BMGE05
1572	256	Nosenko2013_ribo_14615KOG1678
1573	257	Nosenko2013_ribo_11057KOG3353_01
1574	257	Chang2015rpl22
1575	257	Philippe2009Gene_0064
1576	257	Nosenko2013_ribo_14615KOG3353_01
1577	257	Dunn2008Tribe233
1578	258	Nosenko2013_ribo_11057KOG1751
1579	258	Chang2015rpl23a
1580	258	Philippe2009Gene_0065
1581	258	Dunn2008Tribe235
1582	258	Nosenko2013_ribo_14615KOG0901
1583	259	Philippe2009Gene_0068
1584	259	Chang2015rpl25
1585	259	Ryan2013_estgene167
1586	259	Nosenko2013_ribo_11057KOG0901
1587	259	Nosenko2013_ribo_14615KOG1751
1588	260	Chang2015rpl26
1589	260	Nosenko2013_ribo_14615KOG3401
1590	260	Nosenko2013_ribo_11057KOG3401
1591	260	Dunn2008Tribe279
1592	260	Philippe2009Gene_0069
1593	261	Nosenko2013_ribo_11057KOG0746
1594	261	Dunn2008Tribe156
1595	261	Chang2015rpl3
1596	261	Nosenko2013_ribo_14615KOG0746
1597	261	Philippe2009Gene_0071
1598	262	Nosenko2013_ribo_14615KOG0893
1599	262	Simion2017V2META13596-42-Calc_Hmm10-BMGE05
1600	262	Philippe2009Gene_0073
1601	262	Nosenko2013_ribo_11057KOG0893
1602	262	Chang2015rpl31
1603	263	Nosenko2013_ribo_11057KOG0878
1604	263	Ryan2013_estgene274
1605	263	Nosenko2013_ribo_14615KOG0878
1606	263	Chang2015rpl32
1607	263	Philippe2009Gene_0074
1608	264	Nosenko2013_ribo_11057KOG1790
1609	264	Dunn2008Tribe356
1610	264	Nosenko2013_ribo_14615KOG1790
1611	264	Philippe2009Gene_0076
1612	264	Chang2015rpl34
1613	265	Ryan2013_estgene311
1614	265	Nosenko2013_ribo_14615KOG3464
1615	265	Philippe2009Gene_0082
1616	265	Chang2015rpl42
1617	265	Nosenko2013_ribo_11057KOG3464
1618	266	Nosenko2013_ribo_11057KOG0815
1619	266	Nosenko2013_ribo_14615KOG0815
1620	266	Chang2015rpp0
1621	266	Philippe2009Gene_0089
1622	266	Simion2017V2META12274-42-Calc_Hmm10-BMGE05
1623	267	Nosenko2013_ribo_14615KOG1628
1624	267	Nosenko2013_ribo_11057KOG1628
1625	267	Simion2017V2META12799-42-Calc_Hmm10-BMGE05
1626	267	Philippe2009Gene_0090
1627	267	Chang2015rps1
1628	268	Nosenko2013_ribo_14615KOG0400
1629	268	Philippe2009Gene_0093
1630	268	Chang2015rps13a
1631	268	Nosenko2013_ribo_11057KOG0400
1632	268	Dunn2008Tribe272
1633	269	Nosenko2013_ribo_11057KOG3311
1634	269	Nosenko2013_ribo_14615KOG3311
1635	269	Dunn2008Tribe211
1636	269	Philippe2009Gene_0098
1637	269	Chang2015rps18
1638	270	Nosenko2013_ribo_11057KOG3411
1639	270	Philippe2009Gene_0099
1640	270	Dunn2008Tribe260
1641	270	Chang2015rps19
1642	270	Nosenko2013_ribo_14615KOG3411
1643	271	Nosenko2013_ribo_14615KOG0900
1644	271	Chang2015rps20
1645	271	Philippe2009Gene_0101
1646	271	Dunn2008Tribe236
1647	271	Nosenko2013_ribo_11057KOG0900
1648	272	Nosenko2013_ribo_11057KOG1767
1649	272	Philippe2009Gene_0105
1650	272	Dunn2008Tribe288
1651	272	Nosenko2013_ribo_14615KOG1767
1652	272	Chang2015rps25
1653	273	Dunn2008Tribe287
1654	273	Philippe2009Gene_0107
1655	273	Nosenko2013_ribo_14615KOG1779
1656	273	Nosenko2013_ribo_11057KOG1779
1657	273	Chang2015rps27
1658	274	Dunn2008Tribe355
1659	274	Philippe2009Gene_0110
1660	274	Nosenko2013_ribo_11057KOG3506
1661	274	Nosenko2013_ribo_14615KOG3506
1662	274	Chang2015rps29
1663	275	Nosenko2013_ribo_11057KOG3283
1664	275	Philippe2009Gene_0116
1665	275	Nosenko2013_ribo_14615KOG3283
1666	275	Dunn2008Tribe186
1667	275	Chang2015rps8
1668	276	Hejnol2009Tribe1318_1
1669	276	Whelan2017_fullSubset2_13
1670	276	Simion2017V2META12337-42-Calc_Hmm10-BMGE05
1671	276	Chang2015sra
1672	276	Moroz2014_3d486
1673	277	Simion2017V2META11079-1-42-Calc_Hmm10-BMGE05
1674	277	Chang2015tribe572
1675	277	Hejnol2009Tribe745_0
1676	277	Ryan2013_estgene35
1677	277	Dunn2008Tribe572
1678	278	Chang2015tribe629_01
1679	278	Dunn2008Tribe629
1680	278	Hejnol2009Tribe742_0
1681	278	Simion2017V2META13784-42-Calc_Hmm10-BMGE05
1682	278	Ryan2013_estgene207
1683	279	Simion2017V2META13829-42-Calc_Hmm10-BMGE05
1684	279	Ryan2013_estgene282
1685	279	Dunn2008Tribe942
1686	279	Chang2015tribe942
1687	279	Hejnol2009Tribe1471_0
1688	280	Whelan2015_D1Gene_0848
1689	280	Hejnol2009Tribe1465_0
1690	280	Simion2017V2META12583-42-Calc_Hmm10-BMGE05
1691	280	Chang2015vatpased
1692	280	Whelan2015_D10Gene_0848
1693	281	Whelan2017_fullSubset6_01
1694	281	Simion2017V2META14378-42-Calc_Hmm10-BMGE05
1695	281	Dunn2008Tribe1181
1696	281	Hejnol2009Tribe1555_0
1697	281	Ryan2013_estgene283
1698	282	Whelan2015_D10Gene_0912
1699	282	Whelan2015_D20Gene_0912
1700	282	Whelan2015_D1Gene_0912
1701	282	Hejnol2009Tribe781_0
1702	282	Dunn2008Tribe507
1703	283	Whelan2015_D20Gene_0156
1704	283	Whelan2015_D10Gene_0156
1705	283	Whelan2015_D1Gene_0156
1706	283	Simion2017V2META12516-42-Calc_Hmm10-BMGE05
1707	283	Dunn2008Tribe766
1708	284	Ryan2013_estgene92
1709	284	Whelan2017_fullSubset15_01
1710	284	Moroz2014_3d139
1711	284	Simion2017V2META14923-42-Calc_Hmm10-BMGE05
1712	284	Hejnol2009Tribe1526_0
1713	285	Whelan2015_D1Gene_0628
1714	285	Hejnol2009Tribe1552_0
1715	285	Simion2017V2META14167-42-Calc_Hmm10-BMGE05
1716	285	Whelan2015_D10Gene_0628
1717	285	Ryan2013_estgene191
1718	286	Ryan2013_estgene298
1719	286	Whelan2015_D10Gene_0158
1720	286	Hejnol2009Tribe1680_0
1721	286	Whelan2015_D20Gene_0158
1722	286	Whelan2015_D1Gene_0158
1723	287	Whelan2015_D1Gene_0947
1724	287	Ryan2013_estgene197
1725	287	Hejnol2009Tribe1983_0
1726	287	Whelan2015_D20Gene_0947
1727	287	Whelan2015_D10Gene_0947
1728	288	Hejnol2009Tribe2045_0
1729	288	Whelan2015_D20Gene_0787
1730	288	Whelan2017_fullSubset21_08
1731	288	Whelan2015_D1Gene_0787
1732	288	Whelan2015_D10Gene_0787
1733	289	Whelan2015_D10Gene_0651
1734	289	Whelan2015_D20Gene_0651
1735	289	Hejnol2009Tribe2676_0
1736	289	Whelan2015_D1Gene_0651
1737	289	Ryan2013_estgene276
1738	290	Hejnol2009Tribe2741_0
1739	290	Ryan2013_estgene225
1740	290	Whelan2015_D10Gene_0412
1741	290	Whelan2015_D20Gene_0412
1742	290	Whelan2015_D1Gene_0412
1743	291	Ryan2013_estgene286
1744	291	Whelan2017_strictSubset11
1745	291	Ryan2013_estgene313
1746	291	Simion2017V2META12753-42-Calc_Hmm10-BMGE05
1747	291	Hejnol2009Tribe2805_0
1748	292	Simion2017V2META13013-42-Calc_Hmm10-BMGE05
1749	292	Whelan2015_D1Gene_0380
1750	292	Whelan2015_D10Gene_0380
1751	292	Whelan2015_D20Gene_0380
1752	292	Hejnol2009Tribe2867_0
1753	293	Whelan2017_fullSubset14_01
1754	293	Whelan2015_D20Gene_0120
1755	293	Whelan2015_D10Gene_0120
1756	293	Hejnol2009Tribe3150_0
1757	293	Whelan2015_D1Gene_0120
1758	294	Whelan2015_D1Gene_0945
1759	294	Hejnol2009Tribe3507_0
1760	294	Whelan2017_fullSubset28_02
1761	294	Whelan2015_D10Gene_0945
1762	294	Whelan2015_D20Gene_0945
1763	295	Whelan2017_fullSubset5_05
1764	295	Whelan2015_D10Gene_0253
1765	295	Whelan2015_D20Gene_0253
1766	295	Whelan2015_D1Gene_0253
1767	295	Moroz2014_3d253
1768	296	Moroz2014_3d695
1769	296	Whelan2017_fullSubset10_12
1770	296	Whelan2015_D20Gene_0695
1771	296	Whelan2015_D1Gene_0695
1772	296	Whelan2015_D10Gene_0695
1773	297	Whelan2015_D10Gene_0917
1774	297	Whelan2015_D20Gene_0917
1775	297	Whelan2015_D1Gene_0917
1776	297	Moroz2014_3d917
1777	297	Ryan2013_estgene188
1778	298	Simion2017V2META13416-42-Calc_Hmm10-BMGE05
1779	298	Whelan2015_D1Gene_0835
1780	298	Whelan2015_D20Gene_0835
1781	298	Whelan2015_D10Gene_0835
1782	298	Ryan2013_estgene163
1783	299	Whelan2015_D20Gene_0930
1784	299	Whelan2015_D10Gene_0930
1785	299	Simion2017V2META12629-42-Calc_Hmm10-BMGE05
1786	299	Ryan2013_estgene253
1787	299	Whelan2015_D1Gene_0930
1788	300	Whelan2015_D1Gene_0311
1789	300	Simion2017V2META13948-42-Calc_Hmm10-BMGE05
1790	300	Whelan2015_D20Gene_0311
1791	300	Whelan2015_D10Gene_0311
1792	300	Ryan2013_estgene338
1793	301	Simion2017V2META13990-42-Calc_Hmm10-BMGE05
1794	301	Ryan2013_estgene392
1795	301	Whelan2015_D1Gene_0942
1796	301	Whelan2015_D20Gene_0942
1797	301	Whelan2015_D10Gene_0942
1798	302	Whelan2017_fullSubset4_01
1799	302	Simion2017V2META12298-42-Calc_Hmm10-BMGE05
1800	302	Whelan2015_D10Gene_0030
1801	302	Whelan2017_strictSubset3
1802	302	Whelan2015_D1Gene_0030
1803	303	Whelan2015_D20Gene_0664
1804	303	Whelan2017_fullSubset12_05
1805	303	Simion2017V2META12790-42-Calc_Hmm10-BMGE05
1806	303	Whelan2015_D1Gene_0664
1807	303	Whelan2015_D10Gene_0664
1808	304	Whelan2015_D10Gene_0925
1809	304	Whelan2017_fullSubset18_04
1810	304	Whelan2015_D1Gene_0925
1811	304	Simion2017V2META15245-42-Calc_Hmm10-BMGE05
1812	304	Whelan2015_D20Gene_0925
1813	305	Simion2017V2META15605-42-Calc_Hmm10-BMGE05
1814	305	Whelan2015_D20Gene_0873
1815	305	Whelan2017_strictSubset31_01
1816	305	Whelan2015_D1Gene_0873
1817	305	Whelan2015_D10Gene_0873
1818	306	Borowiec2015_Best108OG1148.fasta.aln_gene10
1819	306	Borowiec2015_Total1080OG1148.fasta.aln_gene140
1820	306	Ryan2013_estgene194
1821	306	Simion2017V2META13460-42-Calc_Hmm10-BMGE05
1822	307	Nosenko2013_ribo_14615KOG2573
1823	307	Borowiec2015_Best108OG1155.fasta.aln_gene11
1824	307	Simion2017V2META11095-2-42-Calc_Hmm10-BMGE05
1825	307	Borowiec2015_Total1080OG1155.fasta.aln_gene148
1826	308	Borowiec2015_Best108OG248.fasta.aln_gene26
1827	308	Borowiec2015_Total1080OG248.fasta.aln_gene294
1828	308	Simion2017V2META14949-42-Calc_Hmm10-BMGE05
1829	308	Hejnol2009Tribe3166_0
1830	309	Ryan2013_estgene59
